Ledningskonstruktion;Säkerhetsklass;Områdestyp;Stolptyp;Stolpmaterial;Ledningsmaterial;Ledningsisolering;Tvärsnittsarea;Spänningsnivå;Imax;Kostnadskod;Kommentar;
aercbl;none;Landsbygd;none;none;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Al;PE;50;0,4;0;NG12312;;
aercbl;B;Landsbygd;single;wood;Al;PE;50;0,4;0;NG12312;;
aercbl;B;Landsbygd;single;wood;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Landsbygd svår mark;none;none;Al;PE;50;0,4;0;NG12312;;
aercbl;B;Landsbygd svår mark;single;wood;Al;PE;50;0,4;0;NG12312;;
aercbl;none;Landsbygd;none;none;Al;PE;95;0,4;0;NG12313;;
aercbl;B;Landsbygd;single;wood;Al;PE;95;0,4;0;NG12313;;
aercbl;B;Tätort;single;wood;Al;PE;50;0,4;0;NG12312;;
aercbl;none;Tätort;none;none;Al;PE;50;0,4;0;NG12312;;
aercbl;B;Tätort;single;wood;Al;PVC;35;0,4;0;NG12311;;
aercbl;none;Tätort;none;none;Al;PVC;35;0,4;0;NG12311;;
aercbl;B;Landsbygd;single;wood;Al;PVC;35;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Al;PVC;35;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Al;PVC;50;0,4;0;NG12312;;
aercbl;B;Landsbygd svår mark;single;wood;Al;PE;95;0,4;0;NG12313;;
aercbl;none;Landsbygd svår mark;none;none;Al;PE;95;0,4;0;NG12313;;
aercbl;B;Landsbygd svår mark;single;wood;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Landsbygd svår mark;none;none;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Al;PVC;25;0,4;0;NG12311;;
aercbl;B;Landsbygd svår mark;single;wood;Al;PVC;50;0,4;0;NG12312;;
aercbl;B;Landsbygd svår mark;single;wood;Al;PVC;25;0,4;0;NG12311;;
aercbl;none;Landsbygd svår mark;none;none;Al;PVC;25;0,4;0;NG12311;;
aercbl;B;Landsbygd;single;wood;Al;PVC;50;0,4;0;NG12312;;
aercbl;none;Landsbygd;none;none;Cu;PVC;10;0,4;0;NG12311;;
aercbl;B;Landsbygd;single;wood;Cu;PVC;10;0,4;0;NG12311;;
aercbl;B;Landsbygd;single;wood;Al;PVC;25;0,4;0;NG12311;;
aercbl;B;Tätort;single;wood;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Tätort;none;none;Al;PE;25;0,4;0;NG12311;;
aercbl;none;Tätort;none;none;Al;PVC;50;0,4;0;NG12312;;
aercbl;B;Tätort;single;wood;Al;PVC;50;0,4;0;NG12312;;
aercbl;B;Landsbygd;single;wood;Al;PVC;16;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Al;PVC;16;0,4;0;NG12311;;
aercbl;B;Landsbygd;single;wood;Cu;PVC;16;0,4;0;NG12311;;
aercbl;none;Landsbygd svår mark;none;none;Cu;PVC;6;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Cu;PVC;16;0,4;0;NG12311;;
aercbl;none;Landsbygd;none;none;Cu;PEX;10;24;100;NG12101;;
aercbl;none;Landsbygd svår mark;none;none;Cu;PEX;10;24;96;NG12101;;
